Placement State,Nationality,FY 2019,Cumulative Total
Alabama,,21,21
,Dem. Rep. Congo,13,13
,Honduras,4,4
,Ukraine,4,4
Alaska,,47,47
,Dem. Rep. Congo,12,12
,Moldova,4,4
,Ukraine,31,31
Arizona,,"1,216","1,216"
,Afghanistan,79,79
,Burma,98,98
,Burundi,4,4
,Cameroon,1,1
,Central African Republic,14,14
,Colombia,11,11
,Dem. Rep. Congo,762,762
,Egypt,1,1
,Eritrea,116,116
,Ethiopia,23,23
,Guinea,2,2
,Honduras,3,3
,Iran,6,6
,Iraq,5,5
,Liberia,2,2
,Pakistan,14,14
,Rwanda,10,10
,Senegal,2,2
,Somalia,16,16
,Sudan,17,17
,Syria,24,24
,Ukraine,5,5
,United Arab Emirates,1,1
Arkansas,,46,46
,Dem. Rep. Congo,35,35
,Iran,1,1
,Iraq,1,1
,Liberia,5,5
,Rwanda,4,4
California,,"1,840","1,840"
,Afghanistan,281,281
,Armenia,28,28
,Belarus,9,9
,Burma,53,53
,Burundi,4,4
,Cameroon,1,1
,Colombia,6,6
,Dem. Rep. Congo,140,140
,El Salvador,54,54
,Eritrea,62,62
,Ethiopia,7,7
,Georgia,1,1
,Guatemala,17,17
,Guinea,1,1
,Honduras,3,3
,Iran,55,55
,Iraq,76,76
,Ivory Coast,1,1
,Jordan,2,2
,Kazakhstan,8,8
,Kenya,2,2
,Kyrgyzstan,3,3
,Mali,1,1
,Moldova,46,46
,Pakistan,9,9
,Russia,39,39
,Sudan,16,16
,Syria,95,95
,Uganda,2,2
,Ukraine,804,804
,Uzbekistan,10,10
,Vietnam,4,4
Colorado,,635,635
,Afghanistan,24,24
,Belarus,26,26
,Bhutan,3,3
,Burma,110,110
,Burundi,4,4
,Cameroon,4,4
,Central African Republic,19,19
,Colombia,4,4
,Dem. Rep. Congo,256,256
,Eritrea,59,59
,Ethiopia,12,12
,Iran,8,8
,Iraq,11,11
,Ivory Coast,1,1
,Malawi,1,1
,Russia,7,7
,Rwanda,3,3
,Somalia,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,4,4
,Syria,14,14
,Uganda,1,1
,Ukraine,51,51
,Vietnam,11,11
Connecticut,,142,142
,Afghanistan,17,17
,Burma,1,1
,Colombia,6,6
,Dem. Rep. Congo,76,76
,Eritrea,15,15
,Indonesia,1,1
,Iran,6,6
,Iraq,2,2
,Palestine,6,6
,Sudan,3,3
,Syria,8,8
,Ukraine,1,1
Delaware,,4,4
,Dem. Rep. Congo,4,4
District of Columbia,,5,5
,Eritrea,3,3
,Ethiopia,2,2
Florida,,666,666
,Afghanistan,5,5
,Burma,26,26
,Colombia,58,58
,Cuba,1,1
,Dem. Rep. Congo,353,353
,El Salvador,7,7
,Eritrea,38,38
,Ethiopia,1,1
,Guatemala,14,14
,Honduras,17,17
,Iran,3,3
,Iraq,9,9
,Ivory Coast,2,2
,Jamaica,1,1
,Russia,13,13
,Somalia,1,1
,Sudan,3,3
,Syria,5,5
,Ukraine,103,103
,Vietnam,6,6
Georgia,,"1,189","1,189"
,Afghanistan,101,101
,Bangladesh,2,2
,Bhutan,4,4
,Burma,219,219
,Burundi,3,3
,Cameroon,1,1
,Central African Republic,26,26
,Colombia,6,6
,Dem. Rep. Congo,522,522
,El Salvador,19,19
,Eritrea,126,126
,Ethiopia,7,7
,Ghana,1,1
,Guatemala,4,4
,Guinea,1,1
,Honduras,9,9
,Iran,5,5
,Iraq,5,5
,Jamaica,2,2
,Liberia,8,8
,Nepal,1,1
,Pakistan,15,15
,Republic of South Sudan,3,3
,Russia,2,2
,Rwanda,9,9
,Somalia,5,5
,Sudan,6,6
,Syria,8,8
,Ukraine,58,58
,Vietnam,11,11
Idaho,,523,523
,Afghanistan,16,16
,Burma,23,23
,Cameroon,1,1
,Central African Republic,7,7
,Colombia,10,10
,Dem. Rep. Congo,388,388
,Eritrea,13,13
,Iraq,2,2
,Ivory Coast,5,5
,Pakistan,4,4
,Rwanda,6,6
,Sudan,13,13
,Syria,10,10
,Ukraine,25,25
Illinois,,"1,005","1,005"
,Afghanistan,18,18
,Belarus,3,3
,Burma,303,303
,Burundi,6,6
,Central African Republic,47,47
,Dem. Rep. Congo,355,355
,Eritrea,66,66
,Ethiopia,2,2
,Gambia,1,1
,Honduras,5,5
,Iran,4,4
,Iraq,35,35
,Kyrgyzstan,4,4
,Lebanon,1,1
,Moldova,4,4
,Pakistan,21,21
,Palestine,7,7
,Republic of South Sudan,3,3
,Sudan,27,27
,Syria,37,37
,Uganda,3,3
,Ukraine,53,53
Indiana,,865,865
,Afghanistan,1,1
,Burma,628,628
,Burundi,3,3
,Central African Republic,2,2
,Dem. Rep. Congo,163,163
,El Salvador,4,4
,Eritrea,14,14
,Ethiopia,4,4
,Guatemala,7,7
,Ivory Coast,1,1
,Russia,10,10
,Rwanda,4,4
,Sudan,7,7
,Syria,12,12
,Ukraine,5,5
Iowa,,745,745
,Burma,218,218
,Dem. Rep. Congo,419,419
,Eritrea,96,96
,Iraq,2,2
,Pakistan,2,2
,Sudan,3,3
,Syria,5,5
Kansas,,401,401
,Burma,82,82
,Dem. Rep. Congo,253,253
,Eritrea,53,53
,Ethiopia,1,1
,Sudan,10,10
,Syria,2,2
Kentucky,,"1,427","1,427"
,Afghanistan,11,11
,Bhutan,3,3
,Burma,213,213
,Burundi,11,11
,Dem. Rep. Congo,"1,063","1,063"
,Eritrea,14,14
,Ethiopia,2,2
,Iraq,6,6
,Kenya,5,5
,Nepal,1,1
,Russia,6,6
,Rwanda,2,2
,Somalia,11,11
,Sudan,3,3
,Syria,15,15
,Ukraine,61,61
Louisiana,,12,12
,Burma,4,4
,Eritrea,5,5
,Guatemala,1,1
,Honduras,1,1
,Iraq,1,1
Maine,,140,140
,Afghanistan,1,1
,Burma,3,3
,Burundi,18,18
,Dem. Rep. Congo,97,97
,Iraq,8,8
,Kenya,2,2
,Rwanda,1,1
,Somalia,4,4
,Sudan,5,5
,Syria,1,1
Maryland,,763,763
,Afghanistan,87,87
,Burma,52,52
,Cameroon,1,1
,Central African Republic,19,19
,Chad,1,1
,Colombia,25,25
,Dem. Rep. Congo,205,205
,El Salvador,50,50
,Eritrea,165,165
,Ethiopia,20,20
,Guatemala,27,27
,Honduras,12,12
,Iran,9,9
,Iraq,4,4
,Ivory Coast,13,13
,Pakistan,30,30
,Somalia,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,22,22
,Syria,11,11
,Uganda,1,1
,Ukraine,7,7
Massachusetts,,517,517
,Afghanistan,10,10
,Bangladesh,1,1
,Belarus,1,1
,Burma,18,18
,Central African Republic,6,6
,Colombia,14,14
,Dem. Rep. Congo,244,244
,El Salvador,14,14
,Eritrea,26,26
,Ethiopia,15,15
,Guatemala,4,4
,Guinea,1,1
,Honduras,2,2
,Iran,1,1
,Iraq,9,9
,Ivory Coast,2,2
,Jamaica,1,1
,Kuwait,1,1
,Kyrgyzstan,1,1
,Liberia,2,2
,Mali,1,1
,Moldova,6,6
,Republic of South Sudan,13,13
,Russia,6,6
,Sierra Leone,1,1
,Somalia,4,4
,Sri Lanka (Ceylon),1,1
,Sudan,11,11
,Syria,11,11
,Ukraine,89,89
,Yemen,1,1
Michigan,,"1,146","1,146"
,Afghanistan,80,80
,Burma,109,109
,Cameroon,6,6
,Central African Republic,1,1
,Colombia,6,6
,Congo,2,2
,Dem. Rep. Congo,693,693
,El Salvador,1,1
,Eritrea,62,62
,Ethiopia,11,11
,Guinea,1,1
,Iraq,57,57
,Israel,1,1
,Ivory Coast,4,4
,"Korea, North",1,1
,Pakistan,11,11
,Palestine,1,1
,Republic of South Sudan,3,3
,Rwanda,2,2
,Sierra Leone,1,1
,Somalia,4,4
,Sudan,1,1
,Syria,51,51
,Ukraine,36,36
,Yemen,1,1
Minnesota,,848,848
,Belarus,12,12
,Burma,379,379
,Dem. Rep. Congo,151,151
,El Salvador,6,6
,Eritrea,53,53
,Ethiopia,66,66
,Iraq,3,3
,Kenya,2,2
,Liberia,8,8
,Rwanda,5,5
,Somalia,68,68
,Sudan,2,2
,Syria,9,9
,Ukraine,84,84
Mississippi,,10,10
,Eritrea,7,7
,Guatemala,3,3
Missouri,,680,680
,Afghanistan,32,32
,Burma,68,68
,Central African Republic,1,1
,Dem. Rep. Congo,471,471
,Eritrea,12,12
,Ethiopia,10,10
,Iraq,2,2
,Moldova,8,8
,Somalia,4,4
,Syria,10,10
,Uganda,1,1
,Ukraine,61,61
Montana,,97,97
,Dem. Rep. Congo,83,83
,Eritrea,1,1
,Iraq,4,4
,Syria,9,9
Nebraska,,445,445
,Afghanistan,2,2
,Burma,300,300
,Dem. Rep. Congo,34,34
,El Salvador,10,10
,Ethiopia,2,2
,Iran,1,1
,Iraq,15,15
,Kenya,1,1
,Nepal,1,1
,Somalia,8,8
,Sudan,32,32
,Syria,14,14
,Ukraine,25,25
Nevada,,224,224
,Afghanistan,18,18
,Burundi,13,13
,Cameroon,4,4
,Colombia,7,7
,Dem. Rep. Congo,122,122
,El Salvador,4,4
,Eritrea,18,18
,Ethiopia,1,1
,Iran,16,16
,Iraq,2,2
,Ivory Coast,2,2
,Pakistan,7,7
,Senegal,4,4
,Sudan,3,3
,Syria,3,3
New Hampshire,,248,248
,Burma,13,13
,Burundi,5,5
,Dem. Rep. Congo,217,217
,Iraq,2,2
,Senegal,1,1
,Somalia,6,6
,Sudan,4,4
New Jersey,,250,250
,Afghanistan,6,6
,Burundi,12,12
,Colombia,17,17
,Cuba,1,1
,Dem. Rep. Congo,83,83
,El Salvador,8,8
,Eritrea,7,7
,Guatemala,13,13
,Iraq,6,6
,Ivory Coast,7,7
,Jamaica,2,2
,Kyrgyzstan,6,6
,Liberia,2,2
,Pakistan,14,14
,Rwanda,4,4
,Sri Lanka (Ceylon),6,6
,Sudan,7,7
,Syria,14,14
,Ukraine,35,35
New Mexico,,132,132
,Afghanistan,19,19
,Burundi,17,17
,Dem. Rep. Congo,93,93
,Iran,2,2
,Syria,1,1
New York,,"1,844","1,844"
,Afghanistan,109,109
,Burma,350,350
,Burundi,12,12
,Cambodia,1,1
,Central African Republic,9,9
,China,1,1
,Colombia,17,17
,Congo,1,1
,Dem. Rep. Congo,561,561
,El Salvador,37,37
,Eritrea,108,108
,Ethiopia,6,6
,Guatemala,4,4
,Iran,2,2
,Iraq,14,14
,Ivory Coast,2,2
,Jordan,3,3
,Kenya,2,2
,Kyrgyzstan,6,6
,Pakistan,35,35
,Palestine,6,6
,Russia,18,18
,Rwanda,6,6
,Senegal,1,1
,Somalia,14,14
,Sri Lanka (Ceylon),5,5
,Sudan,39,39
,Syria,34,34
,Turkmenistan,3,3
,Ukraine,437,437
,Uzbekistan,1,1
North Carolina,,"1,256","1,256"
,Afghanistan,33,33
,Burma,297,297
,Cameroon,1,1
,Central African Republic,28,28
,Chad,3,3
,Colombia,29,29
,Dem. Rep. Congo,597,597
,El Salvador,8,8
,Eritrea,48,48
,Ethiopia,1,1
,Guatemala,1,1
,Honduras,6,6
,Iran,10,10
,Iraq,13,13
,Ivory Coast,1,1
,Moldova,18,18
,Nepal,1,1
,Pakistan,16,16
,Rwanda,7,7
,Senegal,6,6
,Sri Lanka (Ceylon),1,1
,Sudan,14,14
,Syria,34,34
,Uganda,1,1
,Ukraine,82,82
North Dakota,,127,127
,Afghanistan,11,11
,Colombia,4,4
,Dem. Rep. Congo,85,85
,Eritrea,9,9
,Guinea,1,1
,Iran,3,3
,Iraq,1,1
,Rwanda,3,3
,Somalia,5,5
,Sudan,5,5
Ohio,,"1,426","1,426"
,Afghanistan,22,22
,Belarus,1,1
,Bhutan,18,18
,Burma,54,54
,Burundi,4,4
,Colombia,11,11
,Dem. Rep. Congo,881,881
,El Salvador,6,6
,Eritrea,105,105
,Ethiopia,10,10
,Ghana,1,1
,Honduras,1,1
,Iraq,8,8
,Liberia,2,2
,Nepal,2,2
,Pakistan,2,2
,Palestine,1,1
,Somalia,14,14
,Sudan,14,14
,Syria,19,19
,Uganda,5,5
,Ukraine,244,244
,Uzbekistan,1,1
Oklahoma,,223,223
,Burma,147,147
,Dem. Rep. Congo,22,22
,Eritrea,3,3
,Iraq,1,1
,Ukraine,24,24
,Vietnam,26,26
Oregon,,556,556
,Afghanistan,7,7
,Armenia,5,5
,Belarus,4,4
,Burma,46,46
,Central African Republic,7,7
,Dem. Rep. Congo,80,80
,Eritrea,21,21
,Ethiopia,4,4
,Iran,4,4
,Iraq,2,2
,Kyrgyzstan,6,6
,Moldova,8,8
,Republic of South Sudan,7,7
,Russia,32,32
,Somalia,4,4
,Sudan,6,6
,Syria,1,1
,Ukraine,312,312
Pennsylvania,,"1,092","1,092"
,Afghanistan,36,36
,Belarus,6,6
,Bhutan,4,4
,Burma,80,80
,Burundi,7,7
,Cameroon,2,2
,Central African Republic,1,1
,Colombia,7,7
,Dem. Rep. Congo,515,515
,Egypt,3,3
,Eritrea,46,46
,Ethiopia,5,5
,Iran,2,2
,Iraq,8,8
,Ivory Coast,7,7
,Kyrgyzstan,9,9
,Liberia,8,8
,Mali,1,1
,Moldova,2,2
,Nepal,3,3
,Pakistan,40,40
,Russia,16,16
,Somalia,7,7
,Sudan,8,8
,Syria,21,21
,Ukraine,244,244
,Vietnam,4,4
Rhode Island,,89,89
,Burundi,4,4
,Dem. Rep. Congo,70,70
,Eritrea,2,2
,Iran,1,1
,Syria,6,6
,Ukraine,6,6
South Carolina,,189,189
,Burma,27,27
,Dem. Rep. Congo,61,61
,El Salvador,4,4
,Ukraine,97,97
South Dakota,,129,129
,Burma,21,21
,Dem. Rep. Congo,37,37
,Eritrea,45,45
,Ethiopia,6,6
,Sudan,2,2
,Ukraine,18,18
Tennessee,,652,652
,Afghanistan,6,6
,Burma,81,81
,Burundi,25,25
,Chad,4,4
,Colombia,26,26
,Dem. Rep. Congo,393,393
,El Salvador,5,5
,Eritrea,17,17
,Iran,4,4
,Iraq,16,16
,Kenya,3,3
,Pakistan,1,1
,Republic of South Sudan,11,11
,Somalia,7,7
,Sudan,18,18
,Syria,9,9
,Ukraine,19,19
,Vietnam,5,5
,Zimbabwe,2,2
Texas,,"2,458","2,458"
,Afghanistan,69,69
,Benin,3,3
,Burma,462,462
,Burundi,6,6
,Cameroon,5,5
,Central African Republic,10,10
,Colombia,23,23
,Dem. Rep. Congo,"1,329","1,329"
,El Salvador,45,45
,Eritrea,171,171
,Ethiopia,12,12
,Guatemala,13,13
,Guinea,2,2
,Honduras,11,11
,Iran,33,33
,Iraq,94,94
,Ivory Coast,8,8
,Nepal,1,1
,Pakistan,17,17
,Palestine,5,5
,Rwanda,18,18
,Somalia,18,18
,Sri Lanka (Ceylon),2,2
,Sudan,36,36
