Placement State,Nationality,FY 2010,Cumulative Total
Alabama,,159,159
,Afghanistan,13,13
,Burundi,1,1
,Cuba,22,22
,Dem. Rep. Congo,7,7
,Eritrea,4,4
,Ethiopia,3,3
,Iran,2,2
,Iraq,80,80
,Somalia,26,26
,Vietnam,1,1
Alaska,,112,112
,Bhutan,46,46
,Eritrea,4,4
,Iran,2,2
,Iraq,13,13
,Palestine,7,7
,Russia,5,5
,Somalia,28,28
,Sudan,3,3
,Ukraine,4,4
Arizona,,"3,400","3,400"
,Afghanistan,42,42
,Bhutan,547,547
,Burma,654,654
,Burundi,47,47
,Central African Republic,6,6
,Chad,3,3
,China,5,5
,Colombia,2,2
,Congo,17,17
,Cuba,85,85
,Dem. Rep. Congo,214,214
,Egypt,4,4
,Eritrea,162,162
,Ethiopia,30,30
,Iran,122,122
,Iraq,"1,102","1,102"
,Kuwait,9,9
,Liberia,6,6
,Palestine,51,51
,Rwanda,25,25
,Somalia,242,242
,Sri Lanka (Ceylon),3,3
,Sudan,8,8
,Turkmenistan,1,1
,Uzbekistan,9,9
,Vietnam,4,4
Arkansas,,34,34
,Burma,6,6
,Cuba,4,4
,Iran,1,1
,Iraq,23,23
California,,"8,579","8,579"
,Afghanistan,85,85
,Armenia,1,1
,Belarus,25,25
,Bhutan,217,217
,Burma,389,389
,Burundi,15,15
,Cambodia,1,1
,China,15,15
,Colombia,4,4
,Congo,16,16
,Cuba,30,30
,Dem. Rep. Congo,91,91
,Eritrea,155,155
,Ethiopia,26,26
,Iran,"2,460","2,460"
,Iraq,"4,133","4,133"
,Kazakhstan,7,7
,Laos,5,5
,Liberia,5,5
,Moldova,101,101
,Morocco,1,1
,Palestine,127,127
,Russia,82,82
,Rwanda,8,8
,Sierra Leone,6,6
,Somalia,159,159
,Sri Lanka (Ceylon),44,44
,Sudan,16,16
,Syria,4,4
,Tajikistan,3,3
,Uganda,11,11
,Ukraine,115,115
,Uzbekistan,38,38
,Vietnam,184,184
Colorado,,"1,969","1,969"
,Afghanistan,4,4
,Bhutan,565,565
,Burma,416,416
,Burundi,6,6
,Central African Republic,2,2
,China,1,1
,Congo,10,10
,Cuba,25,25
,Dem. Rep. Congo,235,235
,Eritrea,109,109
,Ethiopia,45,45
,Gambia,1,1
,Iran,16,16
,Iraq,275,275
,Liberia,1,1
,Mauritania,14,14
,Moldova,5,5
,Palestine,1,1
,Russia,7,7
,Rwanda,13,13
,Sierra Leone,1,1
,Somalia,169,169
,Sri Lanka (Ceylon),3,3
,Sudan,18,18
,Uganda,1,1
,Ukraine,7,7
,Vietnam,14,14
,Zimbabwe,5,5
Connecticut,,506,506
,Afghanistan,23,23
,Algeria,2,2
,Bhutan,78,78
,Burma,136,136
,Burundi,4,4
,Cuba,23,23
,Dem. Rep. Congo,21,21
,Eritrea,7,7
,Iran,3,3
,Iraq,133,133
,Liberia,1,1
,Palestine,19,19
,Sierra Leone,1,1
,Somalia,43,43
,Sri Lanka (Ceylon),6,6
,Sudan,6,6
Delaware,,6,6
,Iran,3,3
,Iraq,3,3
District of Columbia,,25,25
,Eritrea,8,8
,Ethiopia,1,1
,Iran,2,2
,Iraq,14,14
Florida,,"4,216","4,216"
,Afghanistan,12,12
,Bhutan,126,126
,Burma,616,616
,Burundi,15,15
,Colombia,21,21
,Cuba,"2,814","2,814"
,Dem. Rep. Congo,59,59
,Eritrea,55,55
,Ethiopia,16,16
,Haiti,13,13
,Iran,38,38
,Iraq,352,352
,Kazakhstan,10,10
,Liberia,2,2
,Libya,1,1
,Nigeria,1,1
,Palestine,7,7
,Rwanda,6,6
,Somalia,5,5
,Sudan,18,18
,Syria,1,1
,Ukraine,3,3
,Vietnam,25,25
Georgia,,"3,224","3,224"
,Afghanistan,65,65
,Bhutan,715,715
,Burma,945,945
,Burundi,11,11
,Central African Republic,11,11
,Chad,1,1
,Colombia,20,20
,Congo,6,6
,Cuba,96,96
,Dem. Rep. Congo,173,173
,Eritrea,195,195
,Ethiopia,74,74
,Iran,67,67
,Iraq,379,379
,"Korea, North",1,1
,Liberia,17,17
,Moldova,7,7
,Pakistan,11,11
,Palestine,113,113
,Russia,3,3
,Rwanda,11,11
,Somalia,215,215
,Sri Lanka (Ceylon),24,24
,Sudan,41,41
,Uganda,2,2
,Ukraine,4,4
,Uzbekistan,2,2
,Vietnam,15,15
Hawaii,,1,1
,Burma,1,1
Idaho,,"1,092","1,092"
,Afghanistan,47,47
,Bhutan,335,335
,Burma,216,216
,Burundi,13,13
,Central African Republic,1,1
,Colombia,5,5
,Cuba,2,2
,Dem. Rep. Congo,86,86
,Eritrea,54,54
,Iran,28,28
,Iraq,139,139
,Pakistan,8,8
,Palestine,49,49
,Russia,5,5
,Rwanda,8,8
,Somalia,58,58
,Sudan,4,4
,Uzbekistan,31,31
,Vietnam,3,3
Illinois,,"2,529","2,529"
,Afghanistan,1,1
,Benin,1,1
,Bhutan,477,477
,Burma,503,503
,Burundi,3,3
,Congo,9,9
,Cuba,18,18
,Dem. Rep. Congo,92,92
,Eritrea,54,54
,Ethiopia,17,17
,Gabon,1,1
,Haiti,5,5
,Iran,88,88
,Iraq,"1,057","1,057"
,Liberia,20,20
,Moldova,6,6
,Pakistan,3,3
,Palestine,87,87
,Russia,3,3
,Sierra Leone,2,2
,Somalia,27,27
,Sudan,13,13
,Syria,2,2
,Uganda,4,4
,Ukraine,6,6
,Uzbekistan,2,2
,Vietnam,28,28
Indiana,,"1,250","1,250"
,Afghanistan,2,2
,Bhutan,21,21
,Burma,922,922
,Chad,1,1
,Congo,1,1
,Cuba,13,13
,Dem. Rep. Congo,44,44
,Eritrea,25,25
,Ethiopia,20,20
,Guinea,1,1
,Iran,4,4
,Iraq,100,100
,Jordan,2,2
,Liberia,2,2
,Palestine,21,21
,Somalia,48,48
,Sri Lanka (Ceylon),1,1
,Sudan,20,20
,Syria,1,1
,Uganda,1,1
Iowa,,359,359
,Bhutan,71,71
,Burma,143,143
,Burundi,6,6
,Dem. Rep. Congo,2,2
,Eritrea,29,29
,Ethiopia,5,5
,Iraq,83,83
,Liberia,2,2
,Somalia,6,6
,Sudan,10,10
,Vietnam,2,2
Kansas,,297,297
,Bhutan,107,107
,Burma,119,119
,Cuba,9,9
,Eritrea,1,1
,Iran,10,10
,Iraq,32,32
,Somalia,16,16
,Sudan,1,1
,Vietnam,2,2
Kentucky,,"1,974","1,974"
,Afghanistan,1,1
,Azerbaijan,6,6
,Bangladesh,1,1
,Bhutan,314,314
,Burma,562,562
,Burundi,40,40
,Congo,12,12
,Cuba,175,175
,Dem. Rep. Congo,219,219
,Eritrea,23,23
,Ethiopia,3,3
,Iran,10,10
,Iraq,409,409
,Ivory Coast,3,3
,"Korea, North",1,1
,Liberia,5,5
,Nigeria,1,1
,Palestine,33,33
,Rwanda,1,1
,Senegal,1,1
