Placement State,Nationality,FY 2012,Cumulative Total
Alabama,,145,145
,Afghanistan,7,7
,Burma,12,12
,Cuba,3,3
,Dem. Rep. Congo,21,21
,Eritrea,1,1
,Ethiopia,4,4
,Iran,1,1
,Iraq,16,16
,Pakistan,15,15
,Somalia,61,61
,Sudan,4,4
Alaska,,88,88
,Bhutan,6,6
,Burma,26,26
,Iraq,5,5
,Somalia,36,36
,Sudan,15,15
Arizona,,"2,234","2,234"
,Afghanistan,9,9
,Bhutan,391,391
,Burma,312,312
,Burundi,2,2
,Central African Republic,18,18
,Chad,6,6
,China,3,3
,Cuba,42,42
,Dem. Rep. Congo,133,133
,Eritrea,90,90
,Ethiopia,5,5
,India,1,1
,Iran,81,81
,Iraq,637,637
,Ivory Coast,5,5
,Kazakhstan,2,2
,"Korea, North",3,3
,Nepal,3,3
,Pakistan,3,3
,Palestine,3,3
,Rwanda,12,12
,Somalia,335,335
,South Africa,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,80,80
,Togo,2,2
,Uzbekistan,54,54
Arkansas,,10,10
,Burma,6,6
,Iraq,3,3
,Syria,1,1
California,,"5,173","5,173"
,Afghanistan,112,112
,Armenia,8,8
,Belarus,13,13
,Bhutan,108,108
,Burma,414,414
,Central African Republic,3,3
,Chad,1,1
,China,12,12
,Colombia,5,5
,Cuba,16,16
,Dem. Rep. Congo,68,68
,Egypt,9,9
,Eritrea,95,95
,Ethiopia,42,42
,Gaza Strip,7,7
,Georgia,3,3
,Iran,745,745
,Iraq,"2,898","2,898"
,Kazakhstan,5,5
,Kenya,11,11
,"Korea, North",5,5
,Laos,5,5
,Moldova,75,75
,Nepal,4,4
,Nigeria,1,1
,Pakistan,7,7
,Palestine,23,23
,Russia,48,48
,Rwanda,3,3
,Somalia,237,237
,Sri Lanka (Ceylon),16,16
,Sudan,24,24
,Syria,8,8
,Uganda,9,9
,Ukraine,80,80
,Uzbekistan,45,45
,Vietnam,6,6
,Zimbabwe,2,2
Colorado,,"1,458","1,458"
,Belarus,5,5
,Bhutan,540,540
,Burma,382,382
,Central African Republic,14,14
,Chad,3,3
,China,1,1
,Cuba,19,19
,Dem. Rep. Congo,63,63
,Eritrea,40,40
,Ethiopia,32,32
,Iran,12,12
,Iraq,148,148
,Ivory Coast,2,2
,"Korea, North",5,5
,Moldova,2,2
,Nepal,1,1
,Pakistan,3,3
,Palestine,11,11
,Russia,6,6
,Rwanda,10,10
,Senegal,2,2
,Somalia,118,118
,Sri Lanka (Ceylon),4,4
,Sudan,30,30
,Tibet,5,5
Connecticut,,434,434
,Afghanistan,8,8
,Bhutan,62,62
,Burma,60,60
,Cameroon,1,1
,Central African Republic,7,7
,Cuba,19,19
,Dem. Rep. Congo,48,48
,Eritrea,52,52
,Ethiopia,4,4
,Iran,10,10
,Iraq,103,103
,Ivory Coast,1,1
,Liberia,1,1
,Morocco,1,1
,Pakistan,4,4
,Russia,5,5
,Somalia,32,32
,Sudan,15,15
,Tunisia,1,1
District of Columbia,,14,14
,Congo,1,1
,Eritrea,2,2
,Iraq,11,11
Florida,,"2,244","2,244"
,Afghanistan,15,15
,Azerbaijan,1,1
,Bhutan,101,101
,Burma,433,433
,Colombia,28,28
,Cuba,"1,127","1,127"
,Dem. Rep. Congo,38,38
,Egypt,4,4
,Eritrea,43,43
,Ethiopia,32,32
,Iran,31,31
,Iraq,328,328
,"Korea, North",2,2
,Kyrgyzstan,4,4
,Liberia,5,5
,Russia,2,2
,Somalia,20,20
,Sri Lanka (Ceylon),1,1
,Sudan,18,18
,Tanzania,2,2
,Ukraine,5,5
,Venezuela,4,4
Georgia,,"2,520","2,520"
,Afghanistan,44,44
,Belarus,3,3
,Bhutan,907,907
,Burma,643,643
,Burundi,10,10
,Central African Republic,11,11
,China,1,1
,Colombia,24,24
,Cuba,15,15
,Dem. Rep. Congo,77,77
,Eritrea,68,68
,Ethiopia,37,37
,India,1,1
,Iran,68,68
,Iraq,179,179
,Liberia,6,6
,Moldova,7,7
,Nepal,1,1
,Pakistan,29,29
,Palestine,15,15
,Russia,4,4
,Rwanda,5,5
,Somalia,254,254
,Sri Lanka (Ceylon),10,10
,Sudan,91,91
,Uganda,5,5
,Vietnam,4,4
,Zimbabwe,1,1
Hawaii,,1,1
,Burma,1,1
Idaho,,817,817
,Afghanistan,30,30
,Bhutan,159,159
,Burma,189,189
,Burundi,6,6
,Colombia,7,7
,Congo,13,13
,Dem. Rep. Congo,127,127
,Eritrea,44,44
,Ethiopia,8,8
,Iran,24,24
,Iraq,89,89
,Liberia,2,2
,Pakistan,6,6
,Palestine,5,5
,Rwanda,11,11
,Somalia,81,81
,Sudan,12,12
,Syria,1,1
,Uzbekistan,3,3
Illinois,,"2,082","2,082"
,Afghanistan,22,22
,Bhutan,426,426
,Burma,599,599
,Burundi,16,16
,Cameroon,1,1
,Central African Republic,1,1
,Congo,13,13
,Cuba,22,22
,Dem. Rep. Congo,71,71
,Eritrea,22,22
,Ethiopia,38,38
,Iran,46,46
,Iraq,604,604
,Ivory Coast,19,19
,Jordan,1,1
,"Korea, North",1,1
,Liberia,5,5
,Moldova,4,4
,Pakistan,20,20
,Palestine,5,5
,Republic of South Sudan,1,1
,Russia,2,2
,Rwanda,8,8
,Senegal,2,2
,Somalia,103,103
,Sudan,19,19
,Syria,1,1
,Togo,3,3
,Ukraine,4,4
,Uzbekistan,3,3
Indiana,,"1,197","1,197"
,Afghanistan,9,9
,Bhutan,40,40
,Burma,993,993
,China,2,2
,Cuba,1,1
,Dem. Rep. Congo,18,18
,Eritrea,6,6
,Ethiopia,4,4
,Iran,12,12
,Iraq,36,36
,"Korea, North",1,1
,Moldova,5,5
,Pakistan,2,2
,Palestine,3,3
,Somalia,35,35
,Sudan,25,25
,Syria,5,5
Iowa,,431,431
,Bhutan,89,89
,Burma,240,240
,Cuba,4,4
,Eritrea,11,11
,Ethiopia,2,2
,Iraq,46,46
,Liberia,8,8
,Pakistan,6,6
,Rwanda,2,2
,Somalia,13,13
,Togo,5,5
,Vietnam,5,5
Kansas,,384,384
,Bhutan,111,111
,Burma,181,181
,Burundi,7,7
,China,1,1
,Eritrea,13,13
,Ethiopia,2,2
,Iran,4,4
,Iraq,24,24
,Nepal,1,1
,Somalia,16,16
,Sudan,24,24
Kentucky,,"1,452","1,452"
,Afghanistan,17,17
,Azerbaijan,3,3
,Bhutan,404,404
,Burma,334,334
,Burundi,27,27
,Cuba,52,52
,Dem. Rep. Congo,173,173
,Eritrea,10,10
