Placement State,Nationality,FY 2011,Cumulative Total
Alabama,,89,89
,Afghanistan,5,5
,Burma,3,3
,Cuba,7,7
,Ethiopia,1,1
,Iran,15,15
,Iraq,31,31
,Somalia,27,27
Alaska,,87,87
,Bhutan,21,21
,Burma,26,26
,Iran,3,3
,Somalia,30,30
,Sudan,1,1
,Ukraine,6,6
Arizona,,"2,168","2,168"
,Afghanistan,22,22
,Bhutan,491,491
,Burma,429,429
,Burundi,16,16
,Central African Republic,20,20
,Congo,2,2
,Cuba,94,94
,Dem. Rep. Congo,87,87
,Eritrea,134,134
,Ethiopia,18,18
,Gabon,1,1
,Honduras,3,3
,India,1,1
,Iran,62,62
,Iraq,526,526
,Jordan,1,1
,"Korea, North",1,1
,Lebanon,1,1
,Liberia,3,3
,Pakistan,7,7
,Palestine,9,9
,Rwanda,7,7
,Sierra Leone,1,1
,Somalia,194,194
,Sri Lanka (Ceylon),4,4
,Sudan,26,26
,Togo,3,3
,Uzbekistan,5,5
Arkansas,,3,3
,Bhutan,3,3
California,,"4,987","4,987"
,Afghanistan,106,106
,Armenia,13,13
,Azerbaijan,4,4
,Belarus,7,7
,Bhutan,212,212
,Burma,462,462
,Burundi,6,6
,Central African Republic,4,4
,Chad,4,4
,China,7,7
,Cuba,21,21
,Dem. Rep. Congo,16,16
,Egypt,5,5
,Eritrea,117,117
,Ethiopia,24,24
,India,2,2
,Iran,"1,154","1,154"
,Iraq,"2,297","2,297"
,Kazakhstan,6,6
,"Korea, North",4,4
,Kyrgyzstan,4,4
,Laos,83,83
,Lebanon,1,1
,Liberia,8,8
,Moldova,108,108
,Nepal,1,1
,Palestine,11,11
,Russia,26,26
,Somalia,114,114
,Sri Lanka (Ceylon),29,29
,Syria,6,6
,Uganda,4,4
,Ukraine,94,94
,Uzbekistan,25,25
,Vietnam,2,2
Colorado,,"1,557","1,557"
,Afghanistan,1,1
,Bhutan,592,592
,Burma,498,498
,Burundi,11,11
,Central African Republic,14,14
,Congo,3,3
,Cuba,3,3
,Dem. Rep. Congo,36,36
,Eritrea,97,97
,Ethiopia,44,44
,Iran,14,14
,Iraq,76,76
,Kazakhstan,5,5
,"Korea, North",2,2
,Liberia,3,3
,Libya,1,1
,Mauritania,3,3
,Moldova,2,2
,Palestine,14,14
,Russia,7,7
,Rwanda,1,1
,Somalia,106,106
,Sri Lanka (Ceylon),2,2
,Sudan,13,13
,Ukraine,7,7
,Uzbekistan,2,2
Connecticut,,447,447
,Afghanistan,8,8
,Bhutan,91,91
,Burma,142,142
,Colombia,4,4
,Congo,1,1
,Cuba,7,7
,Dem. Rep. Congo,15,15
,Eritrea,43,43
,Iran,8,8
,Iraq,95,95
,Liberia,9,9
,Somalia,21,21
,Sri Lanka (Ceylon),3,3
Delaware,,16,16
,Burma,16,16
District of Columbia,,33,33
,Eritrea,9,9
,Ethiopia,5,5
,Iraq,15,15
,Pakistan,4,4
Florida,,"2,906","2,906"
,Afghanistan,3,3
,Bhutan,94,94
,Burma,589,589
,Burundi,1,1
,Central African Republic,1,1
,Colombia,9,9
,Cuba,"1,821","1,821"
,Dem. Rep. Congo,27,27
,Eritrea,80,80
,Ethiopia,21,21
,Guatemala,5,5
,Iran,39,39
,Iraq,178,178
,"Korea, North",2,2
,Liberia,1,1
,Russia,7,7
,Sudan,4,4
,Syria,5,5
,Togo,1,1
,Ukraine,17,17
,Vietnam,1,1
Georgia,,"2,636","2,636"
,Afghanistan,30,30
,Bhutan,"1,014","1,014"
,Burma,918,918
,Central African Republic,31,31
,Chad,2,2
,China,4,4
,Colombia,8,8
,Cuba,42,42
,Dem. Rep. Congo,19,19
,Eritrea,113,113
,Ethiopia,49,49
,Iran,44,44
,Iraq,140,140
,"Korea, North",1,1
,Laos,7,7
,Liberia,2,2
,Moldova,11,11
,Palestine,18,18
,Russia,4,4
,Sierra Leone,1,1
,Somalia,149,149
,Sri Lanka (Ceylon),13,13
,Sudan,9,9
,Tunisia,1,1
,Ukraine,6,6
Idaho,,730,730
,Afghanistan,34,34
,Belarus,9,9
,Bhutan,201,201
,Burma,227,227
,Burundi,4,4
,Central African Republic,4,4
,Congo,1,1
,Dem. Rep. Congo,36,36
,Eritrea,57,57
,Guinea - Bissau,4,4
,Iran,13,13
,Iraq,79,79
,Palestine,1,1
,Rwanda,3,3
,Somalia,49,49
,Sudan,1,1
,Uzbekistan,7,7
Illinois,,"1,937","1,937"
,Afghanistan,9,9
,Bhutan,505,505
,Burma,573,573
,Burundi,3,3
,Central African Republic,1,1
,Congo,1,1
,Cuba,37,37
,Dem. Rep. Congo,10,10
,Eritrea,49,49
,Ethiopia,7,7
,Iran,47,47
,Iraq,604,604
,Jordan,1,1
,"Korea, North",1,1
,Kuwait,5,5
,Latvia,2,2
,Liberia,10,10
,Moldova,3,3
,Palestine,3,3
,Russia,8,8
,Rwanda,8,8
,Somalia,28,28
,Sudan,3,3
,Syria,10,10
,Togo,1,1
,Ukraine,5,5
,Uzbekistan,3,3
Indiana,,"1,191","1,191"
,Afghanistan,3,3
,Bhutan,25,25
,Burma,"1,005","1,005"
,Dem. Rep. Congo,34,34
,Eritrea,9,9
,Ethiopia,8,8
,Iran,12,12
,Iraq,52,52
,Malaysia,1,1
,Palestine,6,6
,Somalia,29,29
,Sudan,6,6
,Thailand,1,1
Iowa,,331,331
,Bhutan,86,86
,Burma,178,178
,Dem. Rep. Congo,2,2
,Eritrea,22,22
,Iraq,32,32
,Kenya,1,1
,Somalia,3,3
,Sudan,5,5
,Zimbabwe,2,2
Kansas,,327,327
,Bhutan,124,124
,Burma,162,162
,Cuba,2,2
,Dem. Rep. Congo,8,8
,Eritrea,8,8
,Iran,5,5
,Iraq,13,13
,Russia,1,1
,Sudan,1,1
,Vietnam,3,3
Kentucky,,"1,368","1,368"
,Afghanistan,15,15
,Azerbaijan,2,2
,Bhutan,349,349
,Burma,496,496
,China,1,1
,Congo,1,1
,Cuba,49,49
,Dem. Rep. Congo,95,95
,Eritrea,21,21
,Ethiopia,1,1
,Iran,6,6
,Iraq,175,175
,Ivory Coast,1,1
,"Korea, North",4,4
,Liberia,3,3
,Nepal,2,2
,Pakistan,15,15
,Palestine,12,12
,Russia,4,4
,Rwanda,1,1
,Somalia,105,105
,Sudan,4,4
,Syria,1,1
,Vietnam,5,5
Louisiana,,271,271
,Bhutan,20,20
,Burma,122,122
,China,1,1
,Congo,2,2
,Cuba,27,27
,Dem. Rep. Congo,12,12
,Eritrea,9,9
,Ethiopia,3,3
,Iran,1,1
,Iraq,57,57
,Somalia,11,11
,Sudan,2,2
,Vietnam,4,4
Maine,,197,197
,Afghanistan,3,3
,Burma,8,8
,Dem. Rep. Congo,17,17
,Eritrea,5,5
,Iraq,44,44
,Somalia,116,116
,Sudan,4,4
Maryland,,"1,283","1,283"
,Azerbaijan,3,3
,Bhutan,484,484
,Burma,335,335
,Central African Republic,10,10
,Cuba,5,5
,Dem. Rep. Congo,32,32
,Eritrea,126,126
,Ethiopia,58,58
,Indonesia,1,1
,Iran,50,50
,Iraq,123,123
,"Korea, North",1,1
,Kyrgyzstan,4,4
,Liberia,3,3
,Moldova,1,1
,Pakistan,6,6
,Palestine,9,9
,Russia,6,6
,Sierra Leone,5,5
,Somalia,13,13
,Sudan,7,7
,Syria,1,1
Massachusetts,,"1,548","1,548"
,Afghanistan,9,9
,Belarus,5,5
,Bhutan,512,512
,Burma,257,257
,Burundi,5,5
,Central African Republic,21,21
,Congo,1,1
,Cuba,6,6
,Dem. Rep. Congo,19,19
,Eritrea,80,80
,Ethiopia,26,26
,Gambia,2,2
,Iran,12,12
,Iraq,389,389
,Jordan,1,1
,Kazakhstan,8,8
,Kyrgyzstan,1,1
,Liberia,2,2
,Moldova,58,58
,Russia,5,5
,Rwanda,7,7
,Sierra Leone,6,6
,Somalia,93,93
,Sudan,2,2
,Ukraine,14,14
,Uzbekistan,3,3
,Vietnam,4,4
Michigan,,"2,588","2,588"
,Afghanistan,4,4
,Bhutan,280,280
,Burma,638,638
,Burundi,1,1
,Central African Republic,11,11
,Cuba,22,22
,Dem. Rep. Congo,46,46
,Eritrea,21,21
,Ethiopia,1,1
,Iran,7,7
,Iraq,"1,464","1,464"
,Laos,1,1
,Liberia,1,1
,Rwanda,4,4
,Sierra Leone,1,1
,Somalia,74,74
,Sri Lanka (Ceylon),1,1
,Sudan,10,10
,Sweden,1,1
Minnesota,,"1,841","1,841"
,Afghanistan,1,1
,Belarus,11,11
,Bhutan,146,146
,Burma,"1,061","1,061"
,Burundi,3,3
,Dem. Rep. Congo,7,7
,Eritrea,15,15
,Ethiopia,74,74
,Iran,3,3
,Iraq,85,85
,Laos,69,69
,Liberia,21,21
,Moldova,11,11
,Russia,13,13
,Somalia,309,309
,Sudan,5,5
,Ukraine,1,1
,Uzbekistan,6,6
Mississippi,,2,2
,Dem. Rep. Congo,1,1
,Somalia,1,1
Missouri,,941,941
,Afghanistan,2,2
,Bhutan,187,187
,Burma,279,279
,Burundi,2,2
,Central African Republic,3,3
,Cuba,63,63
,Dem. Rep. Congo,8,8
