Placement State,Nationality,FY 2014,Cumulative Total
Alabama,,107,107
,Afghanistan,1,1
,Burma,10,10
,Cuba,10,10
,Dem. Rep. Congo,4,4
,Eritrea,1,1
,Ethiopia,3,3
,Iran,2,2
,Iraq,39,39
,Somalia,22,22
,Sudan,15,15
Alaska,,141,141
,Bhutan,10,10
,Burma,4,4
,Cuba,6,6
,Dem. Rep. Congo,24,24
,Eritrea,6,6
,Ethiopia,1,1
,Iran,1,1
,Iraq,18,18
,Somalia,53,53
,Sudan,18,18
Arizona,,"2,964","2,964"
,Afghanistan,49,49
,Bhutan,77,77
,Burma,287,287
,Burundi,9,9
,Cameroon,2,2
,Central African Republic,1,1
,Colombia,7,7
,Cuba,78,78
,Dem. Rep. Congo,537,537
,Eritrea,92,92
,Ethiopia,14,14
,Iran,62,62
,Iraq,969,969
,Liberia,2,2
,Nepal,2,2
,Pakistan,4,4
,Palestine,5,5
,Republic of South Sudan,10,10
,Russia,2,2
,Rwanda,2,2
,Somalia,669,669
,Sudan,61,61
,Syria,15,15
,Uganda,1,1
,Uzbekistan,7,7
Arkansas,,7,7
,Burma,3,3
,Iraq,4,4
California,,"6,108","6,108"
,Afghanistan,163,163
,Armenia,10,10
,Belarus,12,12
,Bhutan,56,56
,Burma,247,247
,Burundi,1,1
,Cambodia,12,12
,Cameroon,2,2
,China,13,13
,Colombia,5,5
,Cuba,47,47
,Dem. Rep. Congo,107,107
,Egypt,4,4
,Eritrea,51,51
,Ethiopia,21,21
,Iran,"1,670","1,670"
,Iraq,"3,066","3,066"
,Ivory Coast,1,1
,Kazakhstan,1,1
,Moldova,36,36
,Pakistan,21,21
,Palestine,56,56
,Russia,31,31
,Somalia,249,249
,Sri Lanka (Ceylon),17,17
,Sudan,25,25
,Syria,19,19
,Tunisia,1,1
,Uganda,1,1
,Ukraine,130,130
,Uzbekistan,26,26
,Vietnam,7,7
Colorado,,"1,813","1,813"
,Afghanistan,10,10
,Bangladesh,2,2
,Bhutan,225,225
,Burma,449,449
,Burundi,5,5
,Central African Republic,6,6
,China,7,7
,Congo,1,1
,Cuba,24,24
,Dem. Rep. Congo,152,152
,Eritrea,81,81
,Ethiopia,50,50
,Iran,12,12
,Iraq,418,418
,Kenya,1,1
,Liberia,1,1
,Moldova,8,8
,Nepal,3,3
,Russia,5,5
,Rwanda,8,8
,Somalia,287,287
,Sri Lanka (Ceylon),2,2
,Sudan,45,45
,Syria,1,1
,Ukraine,10,10
Connecticut,,543,543
,Afghanistan,10,10
,Bhutan,9,9
,Burma,75,75
,Colombia,25,25
,Cuba,6,6
,Dem. Rep. Congo,65,65
,Eritrea,44,44
,Ethiopia,15,15
,Iran,4,4
,Iraq,145,145
,Ivory Coast,2,2
,Liberia,1,1
,Russia,2,2
,Somalia,115,115
,Sri Lanka (Ceylon),4,4
,Sudan,20,20
,United Kingdom,1,1
District of Columbia,,29,29
,Afghanistan,3,3
,Burma,1,1
,China,5,5
,Dem. Rep. Congo,7,7
,Eritrea,7,7
,Iraq,5,5
,Ivory Coast,1,1
Florida,,"3,519","3,519"
,Afghanistan,10,10
,Bhutan,1,1
,Burma,376,376
,Burundi,4,4
,Colombia,56,56
,Congo,8,8
,Cuba,"2,176","2,176"
,Dem. Rep. Congo,155,155
,Eritrea,38,38
,Ethiopia,22,22
,Haiti,4,4
,Iran,30,30
,Iraq,427,427
,Ivory Coast,4,4
,Jordan,4,4
,Liberia,1,1
,Nigeria,1,1
,Pakistan,3,3
,Palestine,6,6
,Russia,6,6
,Somalia,77,77
,Sri Lanka (Ceylon),3,3
,Sudan,90,90
,Syria,8,8
,Ukraine,4,4
,Vietnam,5,5
Georgia,,"2,694","2,694"
,Afghanistan,45,45
,Algeria,2,2
,Bhutan,556,556
,Burma,746,746
,Central African Republic,2,2
,China,1,1
,Colombia,9,9
,Cuba,64,64
,Dem. Rep. Congo,219,219
,Eritrea,82,82
,Ethiopia,73,73
,Iran,81,81
,Iraq,305,305
,Ivory Coast,2,2
,Kenya,3,3
,Liberia,8,8
,Moldova,8,8
,Nepal,1,1
,Nigeria,2,2
,Pakistan,39,39
,Palestine,1,1
,Russia,5,5
,Somalia,359,359
,Sri Lanka (Ceylon),8,8
,Sudan,51,51
,Syria,6,6
