Placement State,Nationality,FY 2017,Cumulative Total
Alabama,,63,63
,Afghanistan,9,9
,Burma,1,1
,Colombia,3,3
,Dem. Rep. Congo,20,20
,Iraq,10,10
,Somalia,11,11
,Sudan,6,6
,Ukraine,3,3
Alaska,,70,70
,Dem. Rep. Congo,9,9
,Republic of South Sudan,7,7
,Russia,5,5
,Somalia,7,7
,Ukraine,42,42
Arizona,,"2,250","2,250"
,Afghanistan,82,82
,Bhutan,2,2
,Burma,93,93
,Burundi,46,46
,Cameroon,1,1
,Central African Republic,32,32
,Chad,5,5
,Colombia,1,1
,Congo,1,1
,Cuba,1,1
,Dem. Rep. Congo,755,755
,Eritrea,91,91
,Ethiopia,45,45
,Guinea,1,1
,Iran,45,45
,Iraq,343,343
,"Korea, North",2,2
,Pakistan,11,11
,Republic of South Sudan,12,12
,Rwanda,2,2
,Senegal,1,1
,Serbia,2,2
,Somalia,338,338
,Sudan,39,39
,Syria,294,294
,Uganda,4,4
,Vietnam,1,1
Arkansas,,59,59
,Afghanistan,1,1
,Burma,4,4
,Cameroon,2,2
,Dem. Rep. Congo,29,29
,El Salvador,13,13
,Iraq,10,10
California,,"5,160","5,160"
,Afghanistan,177,177
,Armenia,48,48
,Azerbaijan,4,4
,Belarus,14,14
,Bhutan,4,4
,Burma,45,45
,Burundi,2,2
,Cameroon,1,1
,Central African Republic,5,5
,China,1,1
,Colombia,1,1
,Dem. Rep. Congo,209,209
,Egypt,4,4
,El Salvador,238,238
,Eritrea,74,74
,Ethiopia,20,20
,Guatemala,33,33
,Honduras,10,10
,Iran,"1,341","1,341"
,Iraq,"1,025","1,025"
,Ivory Coast,1,1
,Jordan,1,1
,Kazakhstan,10,10
,Kenya,2,2
,"Korea, North",2,2
,Kyrgyzstan,2,2
,Latvia,5,5
,Moldova,100,100
,Pakistan,16,16
,Palestine,2,2
,Russia,92,92
,Senegal,1,1
,Sierra Leone,1,1
,Somalia,142,142
,Sri Lanka (Ceylon),1,1
,Sudan,18,18
,Syria,641,641
,Uganda,8,8
,Ukraine,846,846
,Uzbekistan,9,9
,Vietnam,4,4
Colorado,,"1,144","1,144"
,Afghanistan,49,49
,Bangladesh,3,3
,Bhutan,80,80
,Burma,173,173
,Cameroon,1,1
,Central African Republic,7,7
,China,6,6
,Colombia,6,6
,Dem. Rep. Congo,182,182
,El Salvador,24,24
,Eritrea,73,73
,Ethiopia,23,23
,Gambia,4,4
,Guatemala,1,1
,Iran,16,16
,Iraq,102,102
,Kenya,1,1
,"Korea, North",1,1
,Mali,1,1
,Pakistan,9,9
,Russia,8,8
,Rwanda,6,6
,Somalia,208,208
,Sudan,6,6
,Syria,122,122
,Uganda,1,1
,Ukraine,30,30
,Yemen,1,1
Connecticut,,432,432
,Afghanistan,37,37
,Bhutan,4,4
,Burma,15,15
,Burundi,7,7
,Central African Republic,3,3
,Colombia,6,6
,Cuba,1,1
,Dem. Rep. Congo,123,123
,Eritrea,41,41
,Ethiopia,4,4
,Honduras,1,1
,Iran,1,1
,Iraq,22,22
,Pakistan,2,2
,Rwanda,2,2
,Somalia,15,15
,Sudan,9,9
,Syria,139,139
Delaware,,16,16
,Eritrea,7,7
,Pakistan,2,2
,Syria,3,3
,Ukraine,4,4
District of Columbia,,2,2
,Somalia,2,2
Florida,,"1,698","1,698"
,Afghanistan,19,19
,Burma,113,113
,Burundi,3,3
,Central African Republic,12,12
,Colombia,98,98
,Cuba,112,112
,Dem. Rep. Congo,349,349
,El Salvador,39,39
,Eritrea,99,99
,Ethiopia,31,31
,Guatemala,2,2
,Honduras,20,20
,Iran,36,36
,Iraq,161,161
,Ivory Coast,1,1
,Kuwait,5,5
,Moldova,3,3
,Nepal,1,1
,Pakistan,5,5
,Republic of South Sudan,2,2
,Russia,10,10
,Somalia,48,48
,Sudan,29,29
,Syria,394,394
,Ukraine,106,106
Georgia,,"1,872","1,872"
,Afghanistan,79,79
,Bangladesh,1,1
,Bhutan,129,129
,Burma,274,274
,Burundi,8,8
,Central African Republic,25,25
,Colombia,2,2
,Dem. Rep. Congo,363,363
,El Salvador,72,72
,Eritrea,67,67
,Ethiopia,49,49
,Ghana,3,3
,Guatemala,2,2
,Honduras,4,4
,India,1,1
,Iran,111,111
,Iraq,82,82
,Ivory Coast,8,8
,Moldova,5,5
,Mongolia,2,2
,Nepal,3,3
,Pakistan,13,13
,Palestine,6,6
,Republic of South Sudan,2,2
,Rwanda,1,1
,Sierra Leone,1,1
,Somalia,252,252
,Sudan,14,14
,Syria,233,233
,Thailand,3,3
,Turkey,1,1
,Uganda,4,4
,Ukraine,49,49
,Vietnam,3,3
Hawaii,,3,3
,Burma,3,3
Idaho,,628,628
,Afghanistan,18,18
,Bhutan,41,41
,Botswana,1,1
,Burma,18,18
,Burundi,4,4
,Central African Republic,1,1
,Dem. Rep. Congo,304,304
,Eritrea,18,18
,Ethiopia,3,3
,Iran,15,15
,Iraq,57,57
,Republic of South Sudan,9,9
,Russia,7,7
,Somalia,23,23
,Sudan,24,24
,Syria,59,59
,Ukraine,26,26
Illinois,,"1,705","1,705"
,Afghanistan,69,69
,Bangladesh,1,1
,Bhutan,59,59
,Burkina Faso (UVolta),1,1
,Burma,240,240
,Burundi,20,20
,Cameroon,1,1
,Central African Republic,26,26
,Colombia,7,7
,Cuba,1,1
,Dem. Rep. Congo,264,264
,El Salvador,9,9
,Eritrea,85,85
,Ethiopia,29,29
,Honduras,1,1
,Iran,55,55
,Iraq,256,256
,"Korea, North",5,5
,Mali,1,1
,Moldova,12,12
,Nepal,1,1
,Pakistan,14,14
,Palestine,2,2
,Republic of South Sudan,4,4
,Russia,6,6
,Rwanda,8,8
,Senegal,8,8
,Somalia,30,30
,Sri Lanka (Ceylon),1,1
,Sudan,40,40
