Placement State,Nationality,FY 2015,Cumulative Total
Alabama,,105,105
,Burma,17,17
,Colombia,13,13
,Dem. Rep. Congo,36,36
,Eritrea,1,1
,Ethiopia,1,1
,Iran,6,6
,Iraq,21,21
,Ivory Coast,1,1
,Somalia,8,8
,Sudan,1,1
Alaska,,146,146
,Bhutan,4,4
,Burma,11,11
,Congo,3,3
,Dem. Rep. Congo,23,23
,Eritrea,1,1
,Ethiopia,1,1
,Iraq,6,6
,Russia,1,1
,Somalia,69,69
,Sudan,19,19
,Ukraine,7,7
,Uzbekistan,1,1
Arizona,,"3,133","3,133"
,Afghanistan,37,37
,Bhutan,61,61
,Burma,442,442
,Burundi,148,148
,Cameroon,1,1
,Central African Republic,16,16
,Chad,11,11
,Colombia,23,23
,Congo,3,3
,Cuba,52,52
,Dem. Rep. Congo,627,627
,Equatorial Guinea,2,2
,Eritrea,79,79
,Ethiopia,37,37
,Iran,61,61
,Iraq,655,655
,Ivory Coast,1,1
,Pakistan,1,1
,Palestine,10,10
,Rwanda,11,11
,Senegal,1,1
,Somalia,618,618
,Sudan,109,109
,Syria,125,125
,Turkey,2,2
Arkansas,,13,13
,Burma,13,13
California,,"5,717","5,717"
,Afghanistan,207,207
,Armenia,48,48
,Belarus,31,31
,Bhutan,18,18
,Burma,323,323
,Burundi,61,61
,Cameroon,1,1
,Central African Republic,4,4
,China,2,2
,Colombia,19,19
,Cuba,8,8
,Dem. Rep. Congo,197,197
,Egypt,7,7
,Eritrea,62,62
,Ethiopia,26,26
,Georgia,1,1
,Iran,"1,860","1,860"
,Iraq,"1,717","1,717"
,Kazakhstan,7,7
,"Korea, North",5,5
,Moldova,105,105
,Nepal,1,1
,Pakistan,10,10
,Palestine,46,46
,Republic of South Sudan,7,7
,Russia,92,92
,Somalia,294,294
,South Africa,1,1
,Sri Lanka (Ceylon),18,18
,Sudan,19,19
,Syria,179,179
,Tunisia,4,4
,Uganda,14,14
,Ukraine,310,310
,Uzbekistan,10,10
,Vietnam,3,3
Colorado,,"1,730","1,730"
,Afghanistan,28,28
,Belarus,9,9
,Bhutan,181,181
,Burma,605,605
,Burundi,29,29
,Central African Republic,14,14
,China,4,4
,Colombia,3,3
,Congo,1,1
,Cuba,9,9
,Dem. Rep. Congo,200,200
,Eritrea,44,44
,Ethiopia,28,28
,Iran,8,8
,Iraq,288,288
,Kazakhstan,2,2
,"Korea, North",2,2
,Moldova,8,8
,Nepal,1,1
,Russia,9,9
,Rwanda,12,12
,Saudi Arabia,1,1
,Senegal,1,1
,Somalia,171,171
,Sri Lanka (Ceylon),1,1
,Sudan,18,18
,Syria,5,5
,Uganda,3,3
,Ukraine,44,44
,Zimbabwe,1,1
Connecticut,,519,519
