Placement State,Nationality,FY 2013,Cumulative Total
Alabama,,129,129
,Afghanistan,9,9
,Burma,10,10
,Cuba,9,9
,Eritrea,1,1
,Ethiopia,3,3
,Iran,6,6
,Iraq,54,54
,Somalia,10,10
,Sudan,27,27
Alaska,,106,106
,Bhutan,5,5
,Burma,13,13
,Colombia,6,6
,Cuba,3,3
,Eritrea,3,3
,Ethiopia,1,1
,Iraq,2,2
,Somalia,23,23
,Sudan,44,44
,Uzbekistan,6,6
Arizona,,"3,052","3,052"
,Afghanistan,53,53
,Bhutan,161,161
,Burma,372,372
,Burundi,12,12
,Central African Republic,39,39
,Chad,2,2
,China,2,2
,Colombia,8,8
,Congo,6,6
,Cuba,112,112
,Dem. Rep. Congo,231,231
,Eritrea,95,95
,Ethiopia,48,48
,Guinea,1,1
,Iran,101,101
,Iraq,"1,096","1,096"
,Ivory Coast,2,2
,Jordan,4,4
,"Korea, North",2,2
,Liberia,1,1
,Nepal,4,4
,Pakistan,9,9
,Palestine,14,14
,Rwanda,16,16
,Somalia,516,516
,Sri Lanka (Ceylon),1,1
,Sudan,134,134
,Turkmenistan,2,2
,Uzbekistan,8,8
Arkansas,,7,7
,Burma,5,5
,Iraq,2,2
California,,"6,383","6,383"
,Afghanistan,132,132
,Armenia,3,3
,Bangladesh,1,1
,Bhutan,38,38
,Bulgaria,1,1
,Burma,369,369
,Burundi,9,9
,China,13,13
,Congo,13,13
,Cuba,47,47
,Dem. Rep. Congo,46,46
,Eritrea,58,58
,Ethiopia,17,17
,Gambia,2,2
,Iran,"1,402","1,402"
,Iraq,"3,708","3,708"
,Ivory Coast,1,1
,Jordan,1,1
,Kenya,2,2
,"Korea, North",7,7
,Kyrgyzstan,9,9
,Liberia,1,1
,Moldova,23,23
,Pakistan,9,9
,Palestine,20,20
,Republic of South Sudan,1,1
,Russia,30,30
,Sierra Leone,1,1
,Somalia,253,253
,Sri Lanka (Ceylon),41,41
,Sudan,52,52
,Syria,1,1
,Turkmenistan,6,6
,Ukraine,36,36
,Uzbekistan,22,22
,Vietnam,8,8
Colorado,,"1,789","1,789"
,Afghanistan,14,14
,Bhutan,258,258
,Burma,482,482
,Canada,1,1
,Central African Republic,22,22
,China,6,6
,Colombia,5,5
,Congo,5,5
,Cuba,16,16
,Dem. Rep. Congo,73,73
,Egypt,2,2
,Eritrea,110,110
,Ethiopia,65,65
,Iran,23,23
,Iraq,330,330
,"Korea, North",1,1
,Libya,1,1
,Palestine,7,7
,Rwanda,5,5
,Somalia,275,275
,Sri Lanka (Ceylon),2,2
,Sudan,59,59
,Syria,3,3
,Tibet,15,15
,Uganda,2,2
,Ukraine,7,7
Connecticut,,547,547
,Afghanistan,13,13
,Bhutan,21,21
,Burma,54,54
,Cuba,13,13
,Dem. Rep. Congo,99,99
,Eritrea,62,62
,Ethiopia,7,7
,Iran,1,1
,Iraq,163,163
,Ivory Coast,1,1
,Liberia,4,4
,Russia,1,1
,Senegal,1,1
,Somalia,83,83
,Sudan,24,24
Delaware,,6,6
,Burma,5,5
,Eritrea,1,1
District of Columbia,,11,11
,Eritrea,2,2
,Ethiopia,1,1
,Iraq,7,7
,Somalia,1,1
Florida,,"3,613","3,613"
,Afghanistan,28,28
,Bhutan,26,26
,Burma,352,352
,Central African Republic,10,10
,Colombia,44,44
,Congo,7,7
,Cuba,"2,412","2,412"
,Dem. Rep. Congo,54,54
,Eritrea,44,44
,Ethiopia,32,32
,Iran,14,14
,Iraq,443,443
,Moldova,1,1
,Nepal,1,1
,Somalia,45,45
,Sudan,87,87
,Ukraine,10,10
,Venezuela,3,3
Georgia,,"2,710","2,710"
,Afghanistan,14,14
,Bhutan,509,509
,Burma,774,774
,Burundi,8,8
,Central African Republic,105,105
,China,5,5
,Colombia,26,26
,Congo,13,13
,Cuba,66,66
,Dem. Rep. Congo,77,77
,Eritrea,121,121
,Ethiopia,47,47
,Iran,74,74
,Iraq,349,349
,Kenya,1,1
,Kuwait,1,1
,Liberia,5,5
,Moldova,3,3
,Nepal,3,3
,Pakistan,15,15
,Palestine,17,17
,Somalia,323,323
,Sri Lanka (Ceylon),13,13
,Sudan,136,136
,Togo,5,5
Hawaii,,6,6
,Burma,2,2
,Iraq,4,4
Idaho,,920,920
,Afghanistan,34,34
,Bhutan,86,86
,Burma,203,203
,Burundi,8,8
,Chad,1,1
,Colombia,12,12
,Cuba,10,10
,Dem. Rep. Congo,131,131
,Eritrea,43,43
,Ethiopia,8,8
,Iran,19,19
,Iraq,188,188
,Ivory Coast,5,5
,Pakistan,3,3
,Somalia,111,111
,Sudan,58,58
Illinois,,"2,453","2,453"
,Afghanistan,11,11
,Belarus,3,3
,Bhutan,196,196
,Burma,597,597
,Burundi,5,5
,Central African Republic,19,19
,China,1,1
,Congo,7,7
,Cuba,16,16
,Dem. Rep. Congo,72,72
,Eritrea,37,37
,Ethiopia,21,21
,Iran,110,110
,Iraq,"1,127","1,127"
,Jordan,4,4
,Liberia,7,7
,Moldova,6,6
,Nepal,1,1
,Pakistan,7,7
,Palestine,2,2
,Russia,6,6
,Somalia,134,134
,Sri Lanka (Ceylon),1,1
,Sudan,59,59
,Syria,1,1
,Uzbekistan,3,3
Indiana,,"1,541","1,541"
,Bhutan,7,7
,Burma,"1,323","1,323"
,China,7,7
,Cuba,3,3
,Dem. Rep. Congo,33,33
,Eritrea,14,14
,Ethiopia,5,5
,Iraq,58,58
,Liberia,4,4
,Pakistan,9,9
,Russia,1,1
,Rwanda,6,6
,Somalia,47,47
,Sudan,20,20
,Syria,4,4
Iowa,,598,598
,Bhutan,116,116
,Burma,349,349
,Dem. Rep. Congo,15,15
,Eritrea,26,26
,Ethiopia,2,2
,India,1,1
,Iraq,63,63
,Nepal,2,2
,Somalia,16,16
,Sudan,8,8
Kansas,,474,474
,Bhutan,58,58
,Burma,230,230
,Cuba,26,26
,Dem. Rep. Congo,29,29
,Eritrea,13,13
,Ethiopia,7,7
,Iran,5,5
,Iraq,43,43
,Liberia,2,2
,Somalia,38,38
,Sudan,23,23
Kentucky,,"1,603","1,603"
,Afghanistan,33,33
,Bhutan,212,212
,Burma,374,374
,Burundi,11,11
,Congo,4,4
,Cuba,183,183
,Dem. Rep. Congo,136,136
,Eritrea,23,23
,Ethiopia,12,12
,Iran,6,6
,Iraq,264,264
,Ivory Coast,3,3
,Jordan,1,1
,Kenya,1,1
,Pakistan,10,10
,Palestine,20,20
,Russia,1,1
,Rwanda,5,5
,Somalia,263,263
,Sudan,41,41
Louisiana,,223,223
,Bhutan,8,8
,Burma,50,50
,Central African Republic,9,9
,Colombia,9,9
,Congo,1,1
,Cuba,40,40
,Dem. Rep. Congo,5,5
,Eritrea,15,15
,Ethiopia,3,3
,Iran,1,1
,Iraq,69,69
,Pakistan,1,1
,Somalia,1,1
,Sudan,11,11
Maine,,350,350
,Afghanistan,6,6
,Burma,21,21
,Central African Republic,3,3
,Cuba,1,1
,Eritrea,8,8
,Ethiopia,2,2
,Iran,1,1
,Iraq,162,162
,Somalia,139,139
,Sudan,7,7
Maryland,,"1,242","1,242"
,Afghanistan,4,4
,Belarus,1,1
,Bhutan,153,153
,Burma,397,397
,Burundi,4,4
,Cambodia,4,4
,China,1,1
,Colombia,9,9
,Cuba,11,11
,Dem. Rep. Congo,61,61
,Eritrea,130,130
,Ethiopia,35,35
,Gambia,4,4
,Iran,54,54
,Iraq,219,219
,Liberia,1,1
,Nepal,2,2
,Pakistan,8,8
,Palestine,5,5
,Republic of South Sudan,6,6
,Russia,3,3
,Rwanda,1,1
,Sierra Leone,1,1
,Somalia,64,64
,Sudan,56,56
,Uganda,1,1
,Yemen,7,7
Massachusetts,,"1,829","1,829"
,Afghanistan,6,6
,Bhutan,368,368
,Burma,196,196
,Cambodia,3,3
,Central African Republic,30,30
,Chad,3,3
,China,5,5
,Dem. Rep. Congo,61,61
,Eritrea,46,46
,Ethiopia,12,12
,Gambia,2,2
,India,1,1
,Iran,14,14
,Iraq,728,728
,Ivory Coast,1,1
,Liberia,6,6
,Mali,1,1
,Moldova,6,6
,Nepal,1,1
,Russia,6,6
,Senegal,1,1
,Somalia,273,273
,Sri Lanka (Ceylon),1,1
,Sudan,54,54
,Vietnam,4,4
Michigan,,"4,651","4,651"
,Afghanistan,4,4
,Bhutan,165,165
,Burma,489,489
,Burundi,22,22
,Central African Republic,11,11
,Colombia,6,6
,Cuba,40,40
,Dem. Rep. Congo,120,120
,Eritrea,13,13
,Ethiopia,4,4
,Iran,9,9
,Iraq,"3,431","3,431"
,Nepal,2,2
,Pakistan,1,1
,Palestine,1,1
,Rwanda,18,18
,Somalia,196,196
,Sri Lanka (Ceylon),8,8
,Sudan,99,99
,Syria,6,6
,Yemen,1,1
,Zimbabwe,5,5
Minnesota,,"2,214","2,214"
,Belarus,4,4
,Bhutan,134,134
,Burma,894,894
,Cambodia,11,11
,China,1,1
,Congo,6,6
,Cuba,2,2
,Dem. Rep. Congo,10,10
,Eritrea,26,26
,Ethiopia,65,65
,Iraq,129,129
,Kenya,1,1
,Liberia,8,8
,Moldova,16,16
,Nepal,1,1
,Palestine,5,5
,Somalia,871,871
,Sudan,13,13
,Ukraine,13,13
