Placement State,Nationality,FY 2018,Cumulative Total
Alabama,,38,38
,Burma,1,1
,Dem. Rep. Congo,25,25
,El Salvador,1,1
,Somalia,3,3
,Vietnam,8,8
Alaska,,42,42
,Dem. Rep. Congo,2,2
,Russia,6,6
,Sudan,5,5
,Ukraine,29,29
Arizona,,"1,000","1,000"
,Afghanistan,98,98
,Algeria,1,1
,Bhutan,18,18
,Burma,70,70
,Burundi,20,20
,Central African Republic,11,11
,Colombia,7,7
,Congo,1,1
,Dem. Rep. Congo,585,585
,Eritrea,87,87
,Ethiopia,29,29
,Guinea,2,2
,Iraq,5,5
,Ivory Coast,1,1
,Jordan,1,1
,Liberia,1,1
,Moldova,1,1
,Pakistan,43,43
,Rwanda,8,8
,Senegal,1,1
,Somalia,10,10
Arkansas,,59,59
,Dem. Rep. Congo,33,33
,El Salvador,15,15
,Ethiopia,2,2
,Honduras,1,1
,Ukraine,8,8
California,,"1,368","1,368"
,Afghanistan,140,140
,Armenia,57,57
,Azerbaijan,2,2
,Belarus,47,47
,Bhutan,3,3
,Burma,45,45
,Burundi,1,1
,Central African Republic,13,13
,Dem. Rep. Congo,121,121
,El Salvador,187,187
,Eritrea,29,29
,Ethiopia,7,7
,Guatemala,9,9
,Honduras,12,12
,Iran,20,20
,Iraq,15,15
,Ivory Coast,1,1
,Kazakhstan,20,20
,"Korea, North",2,2
,Moldova,78,78
,Pakistan,31,31
,Russia,75,75
,Rwanda,9,9
,Sri Lanka (Ceylon),24,24
,Syria,12,12
,Uganda,11,11
,Ukraine,382,382
,Uzbekistan,6,6
,Vietnam,9,9
Colorado,,486,486
,Afghanistan,20,20
,Bangladesh,2,2
,Bhutan,31,31
,Burma,113,113
,Cameroon,2,2
,Central African Republic,13,13
,Colombia,5,5
,Dem. Rep. Congo,177,177
,El Salvador,5,5
,Eritrea,62,62
,Ethiopia,15,15
,Iran,1,1
,Iraq,4,4
,Pakistan,3,3
,Russia,12,12
,Rwanda,1,1
,Senegal,2,2
,Somalia,6,6
,Uganda,3,3
,Ukraine,8,8
,Zimbabwe,1,1
Connecticut,,156,156
,Afghanistan,17,17
,Bhutan,3,3
,Burma,9,9
,Dem. Rep. Congo,100,100
,Eritrea,6,6
,Ethiopia,6,6
,Guatemala,3,3
,Russia,7,7
,Syria,5,5
Delaware,,21,21
,Afghanistan,2,2
,Central African Republic,3,3
,Dem. Rep. Congo,13,13
