Placement State,Nationality,FY 2020,Cumulative Total
Alabama,,6,6
,Dem. Rep. Congo,5,5
,Guatemala,1,1
Alaska,,16,16
,Republic of South Sudan,5,5
,Russia,11,11
Arizona,,432,432
,Afghanistan,45,45
,Burma,67,67
,Central African Republic,9,9
,Colombia,3,3
,Dem. Rep. Congo,183,183
,El Salvador,3,3
,Eritrea,29,29
,Ethiopia,4,4
,Iran,14,14
,Iraq,19,19
,Liberia,7,7
,Pakistan,13,13
,Somalia,9,9
,Sudan,7,7
,Syria,19,19
,Ukraine,1,1
Arkansas,,23,23
,Burma,3,3
,Colombia,6,6
,Congo,1,1
,Dem. Rep. Congo,11,11
,Guatemala,1,1
,Iran,1,1
California,,"1,188","1,188"
,Afghanistan,178,178
,Armenia,51,51
,Burma,36,36
,Dem. Rep. Congo,35,35
,El Salvador,75,75
,Eritrea,24,24
,Guatemala,48,48
,Honduras,5,5
,Iran,25,25
,Iraq,52,52
,Jordan,1,1
,Kazakhstan,3,3
,Moldova,122,122
,Pakistan,1,1
,Russia,54,54
,Sudan,2,2
,Syria,78,78
,Uganda,3,3
,Ukraine,392,392
,Uzbekistan,3,3
Colorado,,195,195
,Afghanistan,9,9
,Burma,39,39
,Cameroon,1,1
,Central African Republic,10,10
,Colombia,3,3
,Dem. Rep. Congo,34,34
,El Salvador,3,3
,Eritrea,11,11
,Guatemala,1,1
,Iran,6,6
,Iraq,12,12
,Kazakhstan,4,4
,Somalia,4,4
,Sri Lanka (Ceylon),5,5
,Sudan,8,8
,Syria,18,18
,Ukraine,23,23
,Uzbekistan,4,4
Connecticut,,62,62
,Afghanistan,3,3
,Burma,12,12
,Colombia,2,2
,Dem. Rep. Congo,25,25
,Eritrea,7,7
,Guatemala,3,3
,Honduras,1,1
,Iraq,1,1
,Sudan,8,8
Florida,,328,328
,Afghanistan,7,7
,Burma,18,18
,Burundi,1,1
,Colombia,73,73
,Cuba,2,2
,Dem. Rep. Congo,58,58
,El Salvador,39,39
,Eritrea,15,15
,Guatemala,4,4
,Honduras,16,16
,Iraq,16,16
,Pakistan,2,2
,Russia,6,6
,Somalia,3,3
,Sudan,16,16
,Syria,6,6
,Ukraine,46,46
Georgia,,375,375
,Afghanistan,21,21
,Bangladesh,1,1
,Burma,128,128
,Colombia,3,3
,Dem. Rep. Congo,94,94
,El Salvador,14,14
,Eritrea,9,9
,Ethiopia,12,12
,Guatemala,13,13
,Honduras,1,1
,India,1,1
,Iran,7,7
,Kazakhstan,4,4
,Pakistan,2,2
,Republic of South Sudan,1,1
,Sudan,10,10
,Syria,9,9
,Uganda,2,2
,Ukraine,38,38
,Venezuela,5,5
Idaho,,189,189
,Afghanistan,8,8
,Burma,7,7
,Dem. Rep. Congo,101,101
,El Salvador,3,3
,Eritrea,8,8
,Ethiopia,1,1
,Honduras,2,2
,Iraq,9,9
,Sudan,17,17
,Syria,19,19
,Ukraine,14,14
Illinois,,351,351
,Afghanistan,12,12
,Burma,68,68
,Burundi,5,5
,Central African Republic,2,2
,Dem. Rep. Congo,117,117
,Eritrea,10,10
,Guatemala,14,14
,Iran,6,6
,Iraq,22,22
,Ivory Coast,2,2
,"Korea, North",1,1
,Lebanon,2,2
,Moldova,9,9
,Pakistan,4,4
,Republic of South Sudan,5,5
,Russia,1,1
,Rwanda,3,3
,Senegal,3,3
,Somalia,1,1
,Sri Lanka (Ceylon),1,1
,Sudan,11,11
,Syria,31,31
,Uganda,3,3
,Ukraine,15,15
,Zimbabwe,3,3
Indiana,,322,322
,Afghanistan,4,4
,Burma,222,222
,Colombia,5,5
,Dem. Rep. Congo,46,46
,Eritrea,15,15
,Pakistan,8,8
,Sudan,6,6
,Syria,1,1
,Ukraine,15,15
Iowa,,165,165
,Afghanistan,2,2
,Burma,33,33
,Burundi,4,4
,Dem. Rep. Congo,117,117
,Eritrea,2,2
,Iraq,1,1
,Pakistan,5,5
,Sudan,1,1
Kansas,,125,125
,Afghanistan,6,6
,Burma,33,33
,Burundi,1,1
,Dem. Rep. Congo,63,63
,Sudan,17,17
,Venezuela,5,5
Kentucky,,470,470
,Burma,105,105
,Burundi,1,1
,Dem. Rep. Congo,317,317
,Djibouti,1,1
,Honduras,1,1
,Iran,1,1
,Iraq,11,11
,Malawi,1,1
,Nepal,1,1
,Pakistan,7,7
